Collection date;Site;spp;SampleID;Body part;Fraction
2022-03-17;Tiboulen de Frioul;1;AO06_Ext_C1_MBC;External;Cellular
2022-03-17;Tiboulen de Frioul;1;AO06_Ext_C2_MBC;External;Bacteria
2022-03-17;Tiboulen de Frioul;1;AO06_Int_C1_MBC;Internal;Cellular
2022-03-17;Tiboulen de Frioul;1;AO06_Int_C2_MBC;Internal;Bacteria
2022-03-17;Tiboulen de Frioul;1;AO06_MBC;Entire;General
2022-03-17;Tiboulen de Frioul;2;AO07_Ext_C1_MBC;External;Cellular
2022-03-17;Tiboulen de Frioul;2;AO07_Ext_C2_MBC;External;Bacteria
2022-03-17;Tiboulen de Frioul;2;AO07_Int_C1_MBC;Internal;Cellular
2022-03-17;Tiboulen de Frioul;2;AO07_Int_C2_MBC;Internal;Bacteria
2022-03-17;Tiboulen de Frioul;2;AO07_MBC;Entire;General
2022-03-17;Tiboulen de Frioul;3;AO08_Ext_C1_MBC;External;Cellular
2022-03-17;Tiboulen de Frioul;3;AO08_Ext_C2_MBC;External;Bacteria
2022-03-17;Tiboulen de Frioul;3;AO08_Int_C1_MBC;Internal;Cellular
2022-03-17;Tiboulen de Frioul;3;AO08_Int_C2_MBC;Internal;Bacteria
2022-03-17;Tiboulen de Frioul;3;AO08_MBC;Entire;General
2022-03-17;Tiboulen de Frioul;4;AO09_Ext_C1_MBC;External;Cellular
2022-03-17;Tiboulen de Frioul;4;AO09_Ext_C2_MBC;External;Bacteria
2022-03-17;Tiboulen de Frioul;4;AO09_Int_C1_MBC;Internal;Cellular
2022-03-17;Tiboulen de Frioul;4;AO09_Int_C2_MBC;Internal;Bacteria
2022-03-17;Tiboulen de Frioul;4;AO09_MBC;Entire;General
2022-03-17;Grotte a Peres;5;AO10_Ext_C1_MBC;External;Cellular
2022-03-17;Grotte a Peres;5;AO10_Ext_C2_MBC;External;Bacteria
2022-03-17;Grotte a Peres;5;AO10_Int_C1_MBC;Internal;Cellular
2022-03-17;Grotte a Peres;5;AO10_Int_C2_MBC;Internal;Bacteria
2022-03-17;Grotte a Peres;5;AO10_MBC;Entire;General
2022-03-17;Grotte a Peres;6;AO11_Ext_C1_MBC;External;Cellular
2022-03-17;Grotte a Peres;6;AO11_Ext_C2_MBC;External;Bacteria
2022-03-17;Grotte a Peres;6;AO11_Int_C1_MBC;Internal;Cellular
2022-03-17;Grotte a Peres;6;AO11_Int_C2_MBC;Internal;Bacteria
2022-03-17;Grotte a Peres;6;AO11_MBC;Entire;General
